admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,name,ownership,region,state,locale_type,locale_size
0.9446,1133.0,39961.0,71634.0,56071.0,712.0,38.849354,-91.955273,Fulton,Westminster College,private non-profit,plains,MO,town,medium
0.9175000000000001,1199.0,19400.0,52631.0,38398.0,1585.0,46.012868,-112.559511,Butte,Montana Technological University,public,rocky mountains,MT,town,small
0.882,1150.0,19110.0,55099.0,36050.0,8173.0,46.859312,-113.982912,Missoula,The University of Montana,public,rocky mountains,MT,city,small
0.6827000000000001,,46710.0,69237.0,57081.0,1002.0,40.622952,-96.950932,Crete,Doane University,private non-profit,plains,NE,town,medium
0.8240000000000001,,27109.0,83184.0,73031.0,4135.0,43.759573,-71.690164,Plymouth,Plymouth State University,public,new england,NH,town,small
,,18288.0,64034.0,56926.0,2754.0,42.241556,-97.015122,Wayne,Wayne State College,public,plains,NE,town,medium
0.0874,1488.0,71827.0,102529.0,68455.0,4312.0,43.704115,-72.28994900000001,Hanover,Dartmouth College,private non-profit,new england,NH,town,small
0.5033,1052.0,28204.0,57418.0,44836.0,396.0,40.869526,-97.579352,York,York College,private non-profit,plains,NE,town,small
0.5207,1054.0,43340.0,73363.0,61980.0,1212.0,41.43674,-96.488008,Fremont,Midland University,private non-profit,plains,NE,town,medium
0.33540000000000003,981.0,29262.0,57247.0,40565.0,129.0,41.12314,-96.09437,Papillion,Nebraska Christian College of Hope International University,private non-profit,plains,NE,rural,large
,,15182.0,24121.0,18815.0,5919.0,40.666256,-73.957076,Brooklyn,CUNY Medgar Evers College,public,mid east,NY,city,large
0.9048,,16250.0,43585.0,42358.0,43.0,40.713812,-73.991271,New York,Mesivtha Tifereth Jerusalem of America,private non-profit,mid east,NY,city,large
0.7455,1174.0,56535.0,96753.0,76817.0,3654.0,40.889756,-73.901893,Riverdale,Manhattan College,private non-profit,mid east,NY,city,large
0.8334,1140.0,57251.0,79451.0,64836.0,1165.0,42.457599,-75.071994,Oneonta,Hartwick College,private non-profit,mid east,NY,town,small
0.9509000000000001,,42525.0,68970.0,60483.0,981.0,42.426137,-78.155426,Houghton,Houghton College,private non-profit,mid east,NY,rural,small
