name,instagram,follower_curr,follower_mean,follower_med,follower_std,follower_min,follower_max,following_curr,following_mean,following_med,following_std,following_min,following_max,posts_curr,posts_mean,posts_med,posts_std,posts_min,posts_max,admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,ownership,region,state,locale_type,locale_size
Colgate University,colgateuniversity,18600.0,15955.737704918032,15900.0,1108.7161539015956,14200.0,18600.0,564.0,508.9311475409836,508.0,20.701954053647793,458.0,564.0,786.0,705.5114754098361,706.0,41.17406127441357,633.0,786.0,0.24930000000000002,1443.0,69860.0,112062.0,76732.0,2934.0,42.819475,-75.536346,Hamilton,private non-profit,mid east,NY,town,medium
Colorado College,coloradocollege,11300.0,10363.352185089974,10300.0,559.2192245532192,9237.0,11300.0,164.0,134.32133676092545,134.0,13.197824026452505,103.0,164.0,514.0,460.0745501285347,448.0,31.041161484468105,411.0,514.0,0.15,,68532.0,107642.0,74864.0,2098.0,38.84886,-104.822697,Colorado Springs,private non-profit,rocky mountains,CO,city,large
Colorado Mesa University,coloradomesau,13800.0,12382.005141388176,12400.0,802.5636050679619,10900.0,13800.0,563.0,687.866323907455,529.0,301.9973759394908,441.0,1198.0,1254.0,1207.0456140350877,1213.0,34.31535642655475,1136.0,1254.0,0.8072,1022.0,21181.0,61002.0,44794.0,8384.0,39.080643,-108.553275,Grand Junction,public,rocky mountains,CO,city,small
Colorado School of Mines,coloradoschoolofmines,18600.0,16605.780346820808,16400.0,1124.6235303184644,14700.0,18600.0,1539.0,1462.6560693641618,1452.0,33.53959685593944,1400.0,1539.0,2299.0,2168.2803468208094,2149.0,84.8041188218752,2033.0,2334.0,0.4919,1383.0,33038.0,107141.0,95766.0,4906.0,39.751443,-105.223364,Golden,public,rocky mountains,CO,suburb,large
Colorado State University-Fort Collins,coloradostateuniversity,90800.0,85113.87283236995,84700.0,3621.9113419973114,78400.0,90800.0,2098.0,2091.6878612716764,2092.0,6.53026155619305,2076.0,2106.0,3130.0,2989.655526992288,2996.0,81.61507341034306,2843.0,3130.0,0.8387,1197.0,26861.0,85721.0,63463.0,24210.0,40.574805,-105.080732,Fort Collins,public,rocky mountains,CO,city,medium
Columbia University in the City of New York,columbia,248700.0,222538.41642228738,224200.0,16227.196374937612,191800.0,248700.0,426.0,380.6686217008798,387.0,24.351805963479165,329.0,426.0,1929.0,1735.8973607038124,1764.0,137.5980015204632,1495.0,1929.0,0.0591,1512.0,74435.0,65422.0,31310.0,8216.0,40.808286,-73.961885,New York,private non-profit,mid east,NY,city,large
Cornell University,cornelluniversity,236700.0,216157.76081424937,216000.0,12044.238061557093,190500.0,236700.0,177.0,168.94656488549617,170.0,6.654727846478968,158.0,178.0,1935.0,1866.0788804071246,1874.0,44.529758299967426,1773.0,1935.0,0.1061,1471.0,70301.0,96568.0,75110.0,15105.0,42.4472,-76.483084,Ithaca,private non-profit,mid east,NY,city,small
Colorado State University-Pueblo,csupueblo,2983.0,2368.0515463917527,2334.0,353.5220023161691,1778.0,2983.0,1098.0,1156.4536082474226,1121.0,52.25543911574628,1084.0,1235.0,388.0,346.1726804123711,352.5,29.529971216240067,299.0,401.0,0.9520000000000001,1040.0,20870.0,53095.0,38397.0,3630.0,38.30859,-104.579033,Pueblo,public,rocky mountains,CO,city,medium
University of Colorado Boulder,cuboulder,95200.0,87804.92957746479,89600.0,5202.769410194842,76900.0,95200.0,351.0,312.76408450704224,296.0,23.229626025989333,293.0,352.0,1718.0,1634.8415492957747,1646.0,51.50470388200311,1525.0,1718.0,0.8154,1281.0,30178.0,98821.0,70221.0,29753.0,40.008781,-105.270823,Boulder,public,rocky mountains,CO,city,medium
Case Western Reserve University,cwru,17900.0,15307.514450867053,15000.0,1160.7100056352886,13400.0,17900.0,235.0,221.66763005780348,216.0,9.392994221974718,212.0,236.0,987.0,928.2890173410404,939.0,42.37298490838325,839.0,987.0,0.29250000000000004,1443.0,67083.0,109857.0,94000.0,5131.0,41.507419,-81.609596,Cleveland,private non-profit,great lakes,OH,city,large
,dartmouthcollege,65400.0,58784.46819338422,58100.0,3262.492003998497,53200.0,65400.0,2278.0,2159.7150127226464,2095.0,93.40634403334636,2046.0,2279.0,1098.0,1073.3409669211196,1076.0,17.633333927230243,1040.0,1098.0,,,,,,,,,,,,,,
Duke University,dukeuniversity,199300.0,179330.88235294117,180300.0,12390.212348907306,156700.0,199300.0,240.0,238.30588235294118,239.0,2.1685525502301046,235.0,241.0,2442.0,2359.6235294117646,2376.0,57.82931378833075,2256.0,2442.0,0.0891,1516.0,72466.0,95583.0,61560.0,6596.0,36.001135,-78.937624,Durham,private non-profit,southeast,NC,city,large
Emory University,emoryuniversity,45200.0,39718.205128205125,39100.0,2876.972104925354,34900.0,45200.0,453.0,425.5820512820513,426.5,16.034416259373284,391.0,454.0,2578.0,2514.5692307692307,2516.5,40.80090322256289,2439.0,2578.0,0.1852,1449.0,66950.0,86143.0,56041.0,6975.0,33.790183,-84.325512,Atlanta,private non-profit,southeast,GA,city,large
Georgetown University,georgetownuniversity,86400.0,79221.32867132867,80050.0,4994.263338933348,70000.0,86400.0,461.0,446.02097902097904,457.0,20.17640398174675,402.0,462.0,1077.0,1037.8286713286714,1054.0,33.990535571006774,970.0,1077.0,0.1452,1456.0,71580.0,108786.0,78300.0,7089.0,38.908809,-77.073463,Washington,private non-profit,mid east,DC,city,large
Georgia Institute of Technology-Main Campus,georgiatech,77600.0,70197.06976744186,68850.0,4247.779956720449,63100.0,77600.0,3337.0,2947.8313953488373,2933.5,180.3246199888984,2724.0,3340.0,2603.0,2439.8313953488373,2424.0,95.70414538015208,2284.0,2603.0,0.21530000000000002,1465.0,28501.0,94825.0,71161.0,15201.0,33.77242,-84.394832,Atlanta,public,southeast,GA,city,large
