2020-08-30 12:00:40.722333,93.1k,346,1693
2020-08-31 12:00:42.104365,93.2k,346,1695
2020-09-01 12:00:46.334496,93.2k,346,1695
2020-09-02 12:00:39.401399,93.3k,346,1696
2020-09-03 12:00:40.468989,93.4k,346,1697
2020-09-04 12:00:45.052084,93.4k,346,1697
2020-09-05 12:00:39.806021,93.5k,346,1699
2020-09-06 12:00:39.758220,93.5k,346,1699
2020-09-07 12:00:46.179081,93.5k,346,1699
2020-09-08 12:00:41.749444,93.6k,346,1699
2020-09-09 12:00:43.483616,93.7k,346,1701
2020-09-10 12:00:43.130949,93.7k,346,1701
2020-09-11 12:00:46.287070,93.8k,346,1703
2020-09-12 12:00:45.446018,93.8k,346,1703
2020-09-13 12:00:40.620678,93.9k,346,1703
2020-09-14 12:00:44.137728,94k,346,1703
2020-09-15 12:03:54.626806,94k,346,1704
2020-09-16 12:00:41.946014,94.1k,346,1705
2020-09-18 12:00:49.136453,94.2k,347,1707
2020-09-19 12:00:44.597160,94.2k,347,1708
2020-09-20 12:00:42.295619,94.2k,347,1708
2020-09-22 12:00:41.903401,94.3k,350,1709
2020-09-23 12:00:43.444212,94.4k,350,1709
2020-09-24 12:00:46.160829,94.4k,350,1710
2020-09-25 12:00:54.861981,94.5k,350,1711
2020-09-26 12:00:48.558666,94.6k,350,1712
2020-09-27 12:00:44.303493,94.7k,350,1713
2020-09-28 12:00:44.149927,94.7k,350,1713
2020-09-29 12:00:55.707669,94.8k,351,1713
2020-09-30 12:01:06.741556,94.8k,351,1714
2020-10-01 12:00:42.599055,94.9k,352,1714
2020-10-02 12:00:48.555121,95k,352,1714
